reference,nom,categorie,sous_categorie,prix,stock,etat,couleur,taille,pointure,marque,matiere,genre,description_courte,description,note_produit,dossier_images,statut,nb_images,nb_videos,confiance_regroupement,controle_requis,fichiers_sources,prix_min_marche,prix_max_marche,prix_a_verifier,prix_source_logique,source_web,niveau_verification
PR001,Zara Sublime Epoque Eau de Parfum 80 ml,Parfums,Eau de parfum femme,25000,1,,,,,Zara,,Femme,"Zara Sublime Epoque Eau de Parfum 80 ml, une fragrance florale lumineuse mêlant bergamote, fleurs blanches, vanille et cèdre.","Zara Sublime Epoque Eau de Parfum – 80 ml

Une fragrance florale, lumineuse et sophistiquée pour femme. Le jasmin, la tubéreuse et la fleur d’oranger composent un bouquet blanc élégant et éclatant. La bergamote apporte une ouverture fraîche et délicate, tandis que la vanille et le cèdre installent un fond chaud, doux et enveloppant qui donne de la profondeur à la composition.

STRUCTURE OLFACTIVE
• Notes de tête : bergamote
• Notes de cœur : tubéreuse, fleur d’oranger et jasmin
• Notes de fond : vanille et cèdre

Sublime Epoque évolue d’une fraîcheur florale lumineuse vers une base plus douce, sucrée et chaleureuse. Son profil rappelle l’univers de certaines fragrances florales blanches haut de gamme, notamment Armani My Way, tout en conservant le positionnement accessible propre aux parfums Zara.

Contenance : 80 ml. Eau de parfum. Produit présenté avec son flacon et son emballage visibles sur la photographie.",produits/notes/PR001.txt,PR001,draft,1,0,media_unique_a_verifier,oui,00224cf8-03c0-463b-94d9-a4a25f464bfa.jpeg,21000,25000,oui,Prix indicatif pour une eau de parfum générique/non identifiée. Marque et contenance à confirmer.,https://www.zara.com/uk/en/sublime-epoque-edp-80ml---2-71-oz-p20110785.html,"Identité, contenance et pyramide olfactive vérifiées"
PR002,Sac à main femme,Sacs,Sac à main,12000,1,,,,,,,Femme,"Sac à main femme au style élégant, conçu pour accompagner les tenues du quotidien comme les occasions habillées.","Sac à main femme

Ce sac à main pour femme présente une silhouette élégante et soignée. Son format permet de transporter les essentiels du quotidien tout en conservant une allure structurée et féminine. Il peut accompagner une tenue de travail, une sortie en ville ou une occasion plus habillée.",produits/notes/PR002.txt,PR002,draft,1,0,media_unique_a_verifier,oui,0143c1d1-c02a-48c1-bac5-90b3c48e39ac.jpeg,10000,20000,oui,"Prix indicatif pour un sac à main femme générique, sans marque ni matière confirmées.",,Description enrichie ; marque et modèle à vérifier sur le média
PR003,Soin parfumé pour le corps,Beauté et soins,Soin corporel,3000,1,,,,,,,Femme,Soin corporel parfumé destiné à compléter une routine beauté quotidienne.,"Soin parfumé pour le corps

Ce soin parfumé pour le corps s’intègre dans une routine beauté et laisse la peau délicatement parfumée. Le produit et son conditionnement sont présentés sur le média associé.",produits/notes/PR003.txt,PR003,draft,1,0,media_unique_a_verifier,oui,02141239-6c24-4e1f-af87-474269d4544d.jpeg,2000,6000,oui,"Prix indicatif pour un soin corporel parfumé générique, contenance et marque non confirmées.",,Description enrichie ; informations d’étiquette à vérifier
PR004,Sac à main femme,Sacs,Sac à main,12000,1,,,,,,,Femme,"Sac à main femme au style élégant, conçu pour accompagner les tenues du quotidien comme les occasions habillées.","Sac à main femme

Ce sac à main pour femme présente une silhouette élégante et soignée. Son format permet de transporter les essentiels du quotidien tout en conservant une allure structurée et féminine. Il peut accompagner une tenue de travail, une sortie en ville ou une occasion plus habillée.",produits/notes/PR004.txt,PR004,draft,1,0,media_unique_a_verifier,oui,051cdef8-4863-4483-9fdf-fb3867e55cbb.jpeg,10000,20000,oui,"Prix indicatif pour un sac à main femme générique, sans marque ni matière confirmées.",,Description enrichie ; marque et modèle à vérifier sur le média
PR005,Sac à main femme,Sacs,Sac à main,12000,1,,,,,,,Femme,"Sac à main femme au style élégant, conçu pour accompagner les tenues du quotidien comme les occasions habillées.","Sac à main femme

Ce sac à main pour femme présente une silhouette élégante et soignée. Son format permet de transporter les essentiels du quotidien tout en conservant une allure structurée et féminine. Il peut accompagner une tenue de travail, une sortie en ville ou une occasion plus habillée.",produits/notes/PR005.txt,PR005,draft,1,0,media_unique_a_verifier,oui,05c0e7bc-085c-4842-b43c-cc6e5a33b3c9.jpeg,10000,20000,oui,"Prix indicatif pour un sac à main femme générique, sans marque ni matière confirmées.",,Description enrichie ; marque et modèle à vérifier sur le média
PR006,Eau de parfum,Parfums,Eau de parfum,10000,1,,,,,,,Mixte,"Eau de parfum présentée avec son flacon ou son emballage, destinée à compléter une collection de fragrances.","Eau de parfum

Cette fragrance est présentée avec son flacon ou son emballage visible sur le média associé. Elle convient à une utilisation quotidienne ou à des occasions particulières, selon son profil olfactif.

INFORMATIONS À CONFIRMER
• Nom commercial exact
• Marque
• Contenance
• Concentration et notes olfactives

Aucune pyramide olfactive ni comparaison avec une autre fragrance n’est ajoutée sans identification certaine du produit.",produits/notes/PR006.txt,PR006,draft,1,0,media_unique_a_verifier,oui,06bb548f-f97b-44ba-8103-4391144c3081.jpeg,6800,15000,oui,Prix indicatif pour une eau de parfum générique/non identifiée. Marque et contenance à confirmer.,,Produit non identifié avec une certitude suffisante
PR007,Bague fantaisie,Bijoux,Bague,5500,1,,,,,,,Femme,"Bague fantaisie décorative, idéale pour apporter une touche élégante à une tenue.","Bague fantaisie

Ce bijou fantaisie présente un style décoratif et peut être porté au quotidien ou lors d’une occasion particulière. Sa forme et ses détails sont visibles sur le média associé.",produits/notes/PR007.txt,PR007,draft,1,0,media_unique_a_verifier,oui,09653096-35be-4c44-bdfd-0653f29f5bf3.jpeg,3000,10000,oui,"Prix indicatif pour une bague fantaisie sans métal, pierre ou marque confirmés.",,Description enrichie ; matière et dimensions à vérifier
PR008,Sac à main femme,Sacs,Sac à main,12000,1,,,,,,,Femme,"Sac à main femme au style élégant, conçu pour accompagner les tenues du quotidien comme les occasions habillées.","Sac à main femme

Ce sac à main pour femme présente une silhouette élégante et soignée. Son format permet de transporter les essentiels du quotidien tout en conservant une allure structurée et féminine. Il peut accompagner une tenue de travail, une sortie en ville ou une occasion plus habillée.",produits/notes/PR008.txt,PR008,draft,1,0,media_unique_a_verifier,oui,096f5755-0733-420f-b38a-6bdbdeae8179.jpeg,10000,20000,oui,"Prix indicatif pour un sac à main femme générique, sans marque ni matière confirmées.",,Description enrichie ; marque et modèle à vérifier sur le média
PR009,Sac à main femme,Sacs,Sac à main,12000,1,,,,,,,Femme,"Sac à main femme au style élégant, conçu pour accompagner les tenues du quotidien comme les occasions habillées.","Sac à main femme

Ce sac à main pour femme présente une silhouette élégante et soignée. Son format permet de transporter les essentiels du quotidien tout en conservant une allure structurée et féminine. Il peut accompagner une tenue de travail, une sortie en ville ou une occasion plus habillée.",produits/notes/PR009.txt,PR009,draft,1,0,media_unique_a_verifier,oui,097d3e83-38e4-4f82-ae91-1c871ba6e54c.jpeg,10000,20000,oui,"Prix indicatif pour un sac à main femme générique, sans marque ni matière confirmées.",,Description enrichie ; marque et modèle à vérifier sur le média
PR010,Sac à main femme,Sacs,Sac à main,12000,1,,,,,,,Femme,"Sac à main femme au style élégant, conçu pour accompagner les tenues du quotidien comme les occasions habillées.","Sac à main femme

Ce sac à main pour femme présente une silhouette élégante et soignée. Son format permet de transporter les essentiels du quotidien tout en conservant une allure structurée et féminine. Il peut accompagner une tenue de travail, une sortie en ville ou une occasion plus habillée.",produits/notes/PR010.txt,PR010,draft,1,0,media_unique_a_verifier,oui,0a96034c-9355-4281-b6d5-227c2df3cafb.jpeg,10000,20000,oui,"Prix indicatif pour un sac à main femme générique, sans marque ni matière confirmées.",,Description enrichie ; marque et modèle à vérifier sur le média
